chapter_idx,chapter_title,event_idx,word_count,prefix-probing_rougeL,simple_agent_extraction_rougeL,simple_agent_extraction_refined_best_rougeL,simple_agent_extraction_refined_first_rougeL,prefix-probing_weighted_rougeL,simple_agent_extraction_weighted_rougeL,simple_agent_extraction_refined_best_weighted_rougeL,simple_agent_extraction_refined_first_weighted_rougeL
3,Chapter 3,7,518,0.12293144208037825,0.3191489361702128,0.4231678486997636,0.4231678486997636,0.0010691485392484207,0.002775674092279554,0.003680338240874371,0.003680338240874371
3,Chapter 3,8,251,0.10900473933649289,0.43601895734597157,0.5071090047393365,0.47393364928909953,0.00045937188672699324,0.001837487546907973,0.0021370779078168814,0.0019972690727260572
4,Chapter 4,0,831,0.191044776119403,0.1791044776119403,0.1791044776119403,0.1791044776119403,0.0026655172759439873,0.002498922446197488,0.002498922446197488,0.002498922446197488
4,Chapter 4,1,530,0.15201900237529692,0.24465558194774348,0.33016627078384797,0.31353919239904987,0.0013527547222784984,0.0021770896311669586,0.0029380141624486132,0.002790056614699403
4,Chapter 4,2,766,0.16875,0.3,0.3,0.3,0.0021702904633982543,0.003858294157152451,0.003858294157152451,0.003858294157152451
4,Chapter 4,3,944,0.1524547803617571,0.20025839793281655,0.25452196382428943,0.23772609819121446,0.002416341716949273,0.0031740081875181133,0.004034062018974634,0.003767854880666663
4,Chapter 4,4,1019,0.13513513513513514,0.2376126126126126,0.25225225225225223,0.25225225225225223,0.0023119997095819795,0.004065266156014981,0.004315732791219695,0.004315732791219695
4,Chapter 4,5,1227,0.10969637610186092,0.24681684622918706,0.24681684622918706,0.24681684622918706,0.0022598632215746033,0.0050846922485428565,0.0050846922485428565,0.0050846922485428565
5,Chapter 5,0,230,0.12437810945273632,0.27860696517412936,0.4228855721393035,0.31840796019900497,0.00048030498949176216,0.0010758831764615473,0.0016330369642719913,0.001229580773098911
5,Chapter 5,1,239,0.5113122171945701,0.9366515837104072,0.9366515837104072,0.9366515837104072,0.0020517733362911727,0.003758558235506839,0.003758558235506839,0.003758558235506839
5,Chapter 5,2,452,0.22355769230769232,0.30288461538461536,0.3485576923076923,0.3076923076923077,0.0016965761739939041,0.0022985870744433533,0.002645199411065764,0.0023350725835615026
5,Chapter 5,3,224,0.23039215686274508,0.37745098039215685,0.37745098039215685,0.37745098039215685,0.0008664849418612307,0.0014195604366662716,0.0014195604366662716,0.0014195604366662716
5,Chapter 5,4,252,0.13656387665198239,0.3788546255506608,0.3832599118942731,0.3832599118942731,0.0005778055224361915,0.001602944352564918,0.0016215832403854403,0.0016215832403854403
5,Chapter 5,5,973,0.09479305740987984,0.16555407209612816,0.19492656875834447,0.16688918558077437,0.0015485836947584466,0.0027045687063386955,0.0031844115413342707,0.00272637974429304
5,Chapter 5,6,751,0.1718494271685761,0.176759410801964,0.2684124386252046,0.2684124386252046,0.0021668723942847657,0.0022287830341214737,0.0033844483110733485,0.0033844483110733485
5,Chapter 5,7,1055,0.11123986095017381,0.13441483198146004,0.13673232908458866,0.13673232908458866,0.0019704172817735623,0.0023809208821430547,0.002421971242180004,0.002421971242180004
5,Chapter 5,8,816,0.1410071942446043,0.2316546762589928,0.27482014388489207,0.24028776978417266,0.0019318648506312479,0.003173777968894193,0.003765165168067024,0.003292055408728759
6,Chapter 6,0,345,0.1951219512195122,0.313588850174216,0.34146341463414637,0.34146341463414637,0.001130239643565005,0.0018164565700151869,0.001977919376238759,0.001977919376238759
6,Chapter 6,1,315,0.20817843866171004,0.24535315985130113,0.40148698884758366,0.3048327137546468,0.0011010108827810387,0.0012976199689919384,0.0021233781310777177,0.0016121945069293778
6,Chapter 6,2,906,0.1694915254237288,0.16666666666666666,0.1906779661016949,0.1906779661016949,0.0025782290469089707,0.0025352585627938214,0.002900507677772592,0.002900507677772592
6,Chapter 6,3,1111,0.0951276102088167,0.1334106728538283,0.14501160092807425,0.14501160092807425,0.001774458947985147,0.002488570475832828,0.0027049679085139433,0.0027049679085139433
6,Chapter 6,4,544,0.1271393643031785,0.21271393643031786,0.21271393643031786,0.21271393643031786,0.0011612460406468955,0.0019428539526207675,0.0019428539526207675,0.0019428539526207675
6,Chapter 6,5,651,0.16764132553606237,0.14035087719298245,0.16569200779727095,0.16569200779727095,0.0018323455830083378,0.0015340567671697713,0.0018110392390198687,0.0018110392390198687
6,Chapter 6,6,1243,0.1422963689892051,0.12266928361138371,0.1589793915603533,0.1589793915603533,0.002969684127830456,0.002560072523991772,0.0033178539910933367,0.0033178539910933367
6,Chapter 6,7,2540,0.06416040100250626,0.12581453634085213,0.12581453634085213,0.12581453634085213,0.0027361890286495285,0.005365495673367435,0.005365495673367435,0.005365495673367435
6,Chapter 6,8,370,0.15436241610738255,0.18791946308724833,0.26174496644295303,0.21476510067114093,0.0009589337468054322,0.0011673976048066131,0.0016260180924092113,0.0013341686912075577
6,Chapter 6,9,599,0.18689788053949905,0.20423892100192678,0.20423892100192678,0.20423892100192678,0.0018796479255063791,0.0020540482484915066,0.0020540482484915066,0.0020540482484915066
6,Chapter 6,10,1365,0.10191082802547771,0.15013648771610555,0.18926296633303002,0.16196542311191992,0.002335599064049313,0.0034408379068583627,0.004337541118948724,0.0037119342267926576
6,Chapter 6,11,1410,0.09262435677530018,0.19639794168096056,0.20411663807890223,0.20411663807890223,0.002192752569730914,0.00464944757841092,0.004832176959221829,0.004832176959221829
7,Chapter 7,0,353,0.2145214521452145,0.26732673267326734,0.35313531353135313,0.35313531353135313,0.0012714249934059891,0.001584391145629002,0.0020929611429913978,0.0020929611429913978
7,Chapter 7,1,947,0.11597633136094675,0.2,0.24142011834319527,0.20236686390532543,0.001844015879765221,0.0031799865681665547,0.0038385636680827047,0.00321761954530462
7,Chapter 7,2,907,0.12515042117930206,0.12876052948255115,0.15042117930204574,0.13477737665463296,0.001905833311108579,0.0019608092720059416,0.0022906650373901187,0.0020524358735015463
7,Chapter 7,3,481,0.13402061855670103,0.2757731958762887,0.33505154639175255,0.30412371134020616,0.0010823357542943787,0.002227113955951895,0.002705839385735947,0.0024560695962833976
7,Chapter 7,4,335,0.2007168458781362,0.1971326164874552,0.35842293906810035,0.27598566308243727,0.001128948008213157,0.0011087882223522077,0.0020159785860949233,0.0015523035112930909
7,Chapter 7,5,400,0.17222222222222222,0.20833333333333334,0.46944444444444444,0.26944444444444443,0.0011566301022311767,0.0013991493172151334,0.0031527497947914335,0.0018095664502649055
7,Chapter 7,6,1163,0.15849843587069865,0.1553701772679875,0.17831074035453598,0.1710114702815433,0.0030949241255477256,0.0030338400967540205,0.003481789641241191,0.003339260240722546
7,Chapter 7,7,434,0.18766066838046272,0.3161953727506427,0.5269922879177378,0.40102827763496146,0.001367440061738093,0.0023040428437504858,0.0038400714062508095,0.002922200679878665
7,Chapter 7,8,373,0.2153392330383481,0.35693215339233036,0.35693215339233036,0.35693215339233036,0.0013485818321575527,0.002235320571110464,0.002235320571110464,0.002235320571110464
8,Chapter 8,0,498,0.20422535211267606,0.2300469483568075,0.323943661971831,0.3075117370892019,0.0017075927695116297,0.0019234953035878128,0.002708595427501206,0.0025712029058163623
8,Chapter 8,1,720,0.13934426229508196,0.1819672131147541,0.2442622950819672,0.19508196721311474,0.0016844840304308093,0.002199737969150822,0.002952801418049301,0.0023582776426031332
8,Chapter 8,2,624,0.20776699029126214,0.23300970873786409,0.2912621359223301,0.2446601941747573,0.0021767394550326995,0.002441203127139476,0.0030515039089243448,0.00256326328349645
8,Chapter 8,3,437,0.207492795389049,0.17002881844380405,0.2478386167146974,0.2132564841498559,0.001522403485309174,0.0012475250782394622,0.0018184263852304022,0.0015646924710122066
8,Chapter 8,4,894,0.1859504132231405,0.1584022038567493,0.18457300275482094,0.18457300275482094,0.002791129439581726,0.0023776287818659146,0.002770454406695936,0.002770454406695936
8,Chapter 8,5,563,0.14940239043824702,0.23705179282868527,0.33665338645418325,0.30876494023904383,0.0014122489223763108,0.002240768290170413,0.0031822675717546197,0.002918647772911042
8,Chapter 8,6,445,0.2010443864229765,0.34986945169712796,0.4151436031331593,0.4151436031331593,0.0015020945594060534,0.0026140346877975475,0.003101727726565747,0.003101727726565747
8,Chapter 8,7,614,0.19168173598553345,0.1735985533453888,0.22603978300180833,0.22603978300180833,0.0019760340143572456,0.001789615711115996,0.00233022879051562,0.00233022879051562
8,Chapter 8,8,952,0.12700369913686807,0.2725030826140567,0.31442663378545005,0.2909987669543773,0.0020300121151494025,0.004355657062602115,0.005025758149156287,0.004651289894905427
8,Chapter 8,9,591,0.18994413407821228,0.3370577281191806,0.3370577281191806,0.3370577281191806,0.0018847713774382718,0.003344545287414972,0.003344545287414972,0.003344545287414972
