chapter_idx,chapter_title,event_idx,word_count,prefix-probing_rougeL,simple_agent_extraction_rougeL,simple_agent_extraction_refined_best_rougeL,simple_agent_extraction_refined_first_rougeL,prefix-probing_weighted_rougeL,simple_agent_extraction_weighted_rougeL,simple_agent_extraction_refined_best_weighted_rougeL,simple_agent_extraction_refined_first_weighted_rougeL
2,Chapter 2,1,709,0.17892976588628762,0.3612040133779264,0.3612040133779264,0.3612040133779264,0.0016774813425723682,0.0033863174765946876,0.0033863174765946876,0.0033863174765946876
2,Chapter 2,2,167,0.2786885245901639,0.5327868852459017,0.6967213114754098,0.6639344262295082,0.0006154098273947766,0.0011765187876664849,0.0015385245684869414,0.00146612341232285
2,Chapter 2,3,328,0.1902834008097166,0.5951417004048583,0.5951417004048583,0.5951417004048583,0.0008252843660326745,0.002581208549080918,0.002581208549080918,0.002581208549080918
2,Chapter 2,4,177,0.23387096774193547,0.5645161290322581,0.5645161290322581,0.5645161290322581,0.0005473667956830003,0.0013212301964762078,0.0013212301964762078,0.0013212301964762078
2,Chapter 2,5,473,0.15606936416184972,0.23410404624277456,0.5780346820809249,0.5664739884393064,0.0009761300247078374,0.0014641950370617562,0.0036152963878068054,0.003542990460050669
2,Chapter 2,6,296,0.1646090534979424,0.4444444444444444,0.654320987654321,0.654320987654321,0.0006442794784252895,0.0017395545917482816,0.0025610109267405257,0.0025610109267405257
3,Chapter 3,0,284,0.26851851851851855,0.4537037037037037,0.6342592592592593,0.5648148148148148,0.0010083735654306623,0.0017038036105552568,0.0023818479045517368,0.0021210616376300135
3,Chapter 3,1,257,0.23076923076923078,0.46634615384615385,0.46634615384615385,0.46634615384615385,0.0007842235779717599,0.0015847851471512647,0.0015847851471512647,0.0015847851471512647
3,Chapter 3,2,219,0.33152173913043476,0.5054347826086957,0.7934782608695652,0.6358695652173914,0.0009600304243192185,0.0014636529419948742,0.0022977777368951785,0.001841369830251616
3,Chapter 3,3,333,0.16423357664233576,0.4854014598540146,0.4854014598540146,0.4854014598540146,0.0007231610956800282,0.00213734279389875,0.00213734279389875,0.00213734279389875
3,Chapter 3,4,123,0.22826086956521738,0.5217391304347826,0.7717391304347826,0.5434782608695652,0.00037124913332083856,0.0008485694475904883,0.0012551756412275971,0.0008839265079067585
4,Chapter 4,0,312,0.23333333333333334,0.34074074074074073,0.4148148148148148,0.4148148148148148,0.0009626318990823262,0.0014057481700884761,0.00171134559836858,0.00171134559836858
4,Chapter 4,1,282,0.22540983606557377,0.29508196721311475,0.5737704918032787,0.38114754098360654,0.0008405253982822283,0.0011003241577512808,0.0021395191956274902,0.0014212520370954042
